Object Name,ESX Cluster,Datastore
linux-minimal-0001,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0002,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0003,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0004,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0005,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0006,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0007,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0008,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0009,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0010,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0011,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0012,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0013,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0014,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0015,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0016,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0017,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0018,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0019,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0020,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0021,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0022,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0023,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0024,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0025,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0026,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0027,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0028,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0029,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0030,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0031,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0032,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0033,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0034,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0035,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0036,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0037,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0038,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0039,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0040,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0041,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0042,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0043,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0044,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0045,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0046,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0047,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0048,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0049,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0050,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0051,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0052,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0053,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0054,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0055,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0056,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0057,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0058,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0059,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0060,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0061,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0062,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0063,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0064,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0065,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0066,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0067,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0068,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0069,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0070,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0071,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0072,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0073,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0074,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0075,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0076,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0077,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0078,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0079,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0080,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0081,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0082,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0083,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0084,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0085,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0086,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0087,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0088,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0089,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0090,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0091,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0092,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0093,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0094,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0095,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0096,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0097,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0098,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0099,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0100,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0101,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0102,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0103,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0104,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0105,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0106,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0107,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0108,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0109,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0110,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0111,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0112,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0113,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0114,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0115,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0116,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0117,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0118,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0119,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0120,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0121,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0122,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0123,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0124,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0125,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0126,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0127,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0128,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0129,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0130,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0131,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0132,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0133,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0134,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0135,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0136,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0137,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0138,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0139,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0140,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0141,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0142,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0143,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0144,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0145,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0146,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0147,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0148,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0149,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0150,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0151,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0152,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0153,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0154,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0155,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0156,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0157,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0158,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0159,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0160,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0161,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0162,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0163,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0164,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0165,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0166,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0167,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0168,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0169,poc01-67-cluster02,PURE-DS1-10TB
